Ζεύγη μεταβλητών με συσχέτιση > 0.4 (φθίνουσα σειρά):

• Bwd Packet Length Mean <--> Bwd Segment Size Avg  |  corr = 1.00
• Fwd Packet Length Mean <--> Fwd Segment Size Avg  |  corr = 1.00
• Flow Packets/s <--> Fwd Packets/s  |  corr = 1.00
• Fwd Packet Length Max <--> Packet Length Max  |  corr = 1.00
• Fwd Packet Length Min <--> Fwd Segment Size Avg  |  corr = 0.99
• Fwd Packet Length Min <--> Fwd Packet Length Mean  |  corr = 0.99
• Flow IAT Max <--> Idle Max  |  corr = 0.99
• Packet Length Mean <--> Average Packet Size  |  corr = 0.99
• Bwd Bytes/Bulk Avg <--> Bwd Packet/Bulk Avg  |  corr = 0.99
• Active Mean <--> Active Min  |  corr = 0.99
• Bwd Header Length <--> ACK Flag Count  |  corr = 0.99
• Active Mean <--> Active Max  |  corr = 0.98
• Fwd Packet Length Max <--> Fwd Packet Length Mean  |  corr = 0.98
• Fwd Packet Length Max <--> Fwd Segment Size Avg  |  corr = 0.98
• Idle Mean <--> Idle Max  |  corr = 0.98
• Flow Duration <--> Fwd IAT Total  |  corr = 0.98
• Idle Mean <--> Idle Min  |  corr = 0.98
• Packet Length Max <--> Fwd Segment Size Avg  |  corr = 0.98
• Fwd Packet Length Mean <--> Packet Length Max  |  corr = 0.98
• Flow IAT Max <--> Fwd IAT Max  |  corr = 0.97
• Fwd Packet Length Mean <--> Packet Length Mean  |  corr = 0.97
• Packet Length Mean <--> Fwd Segment Size Avg  |  corr = 0.97
• Flow IAT Max <--> Idle Mean  |  corr = 0.97
• Fwd Packet Length Mean <--> Average Packet Size  |  corr = 0.97
• Average Packet Size <--> Fwd Segment Size Avg  |  corr = 0.97
• Total Length of Fwd Packet <--> Fwd Act Data Pkts  |  corr = 0.97
• Fwd IAT Max <--> Idle Max  |  corr = 0.97
• Fwd Packet Length Min <--> Average Packet Size  |  corr = 0.97
• Fwd Packet Length Min <--> Packet Length Mean  |  corr = 0.97
• Fwd Packet Length Max <--> Fwd Packet Length Min  |  corr = 0.96
• Fwd Packet Length Max <--> Packet Length Mean  |  corr = 0.96
• Fwd IAT Mean <--> Fwd IAT Min  |  corr = 0.96
